Title,Author,Poem,PoemAnalysis,PoemGoogleCounts
行见月,王建,"月初生，居人见月一月行。
行行一年十二月，强半马上看圆缺。
百年欢乐能几何，在家见少行见多。
不缘衣食相驱遣，此身谁愿长奔波？
箧中有帛仓有粟，岂向天涯走碌碌？
家人见月望我归，正是道上思家时。","逆旅行途，客子思乡，不免临风怀想，望月兴叹。温馨似水的月色，使多少诗人触动乡愁，吟咏成篇。王建《行见月》即是其中名篇。
“月初生，居人见月一月行”，新月一弯，悬于天幕。家人见月，自己已经行役一月。诗歌开端，诗人正在行途之中，却能凭借一眉月牙，由此及彼，把时间拓展到一月之前，一个月来的旅途劳顿、思乡情怀，尽在不言之中，容量顿时增加。又由己及人，悬想家人正在对月望远，一轮明月绾合起两地情思，空",113000000
金乡送韦八之西京,李白,"客从长安来，还归长安去。狂风吹我心，西挂咸阳树。
此情不可道，此别何时遇？望望不见君，连山起烟雾。","李白于天宝八年（749）春天，东游齐鲁，在山东金乡遇见来自长安（西京）的老朋友韦八回长安，写下这首送别诗。送别之人、之地、之去向在诗题中都作了交代，而诗所要抒写的则是由送别勾起的怀旧和无法舍弃的长安情结。
既然是送别诗，必然要联想到客人的去处。韦八此次的去处是长安，李白与韦八是在长安时就熟悉的朋友。李白自天宝元年（742）到长安，天宝四年（745）离开长安。长安三年是他一生辉煌的三年，又是落寞的三年，纠结的三年，曾留下许多风流轶事，浪漫传闻，后又因谗蒙冤，放逐还山。这在他的诗里都有记述：“昔在长安醉花柳，五侯七贵同杯酒”（《流夜郎赠辛判官》）、“朝天数换飞龙马，敕赐珊瑚白玉鞭”（《玉壶吟》）、“黄金白璧买歌笑，一醉累月轻王侯”（《忆旧游寄谯郡元参军》）、“",40900000
效古赠崔二,高适,"十月河洲时，一看有归思。风飙生惨烈，雨雪暗天地。
我辈今胡为？浩哉迷所至。缅怀当途者，济济居声位。
邈然在云霄，宁肯更沦踬？周旋多燕乐，门馆列车骑。
美人芙蓉姿，狭室兰麝气。金炉陈兽炭，谈笑正得意。
岂论草泽中，有此枯槁士？我惭经济策，久欲甘弃置。
君负纵横才，如何尚憔悴？长歌增郁怏，对酒不能醉。
穷达自有时，夫子莫下泪。","此诗作于开元二十一年（733）冬高适第一次出塞蓟北而归之后。这之前，他二十岁曾西游长安求仕，失意而归。北游蓟门，“时事多谬”，内心极为愤懑不平，故借与崔二赠答之际，深刻揭露了当时统治阶级的骄奢淫逸、正直之士长期沉沦的悲惨遭遇，尽情地宣泄了一腔郁勃悲慨之情，把“开元盛世”的黑暗面暴露无遗。在开元诗坛上，他针砭时弊的大胆尖锐是空前的。
开始六句，以景托情，情景交融，渲染出充塞天地的巨大悲愁。“十月河洲”，景物萧条，托出诗人心境的悲凉，前途的黯淡，故有“归欤之思”。三、四句进一步渲染扩大这种“惨”景：狂风的呼啸使气氛显得严酷",22300000
感事,（周啸天）,击石易得火，扣人难动心。今日朱门者，曾恨朱门深。,阶级社会里充满着不平等，人们都在一定的社会地位里生活，思想感情和立场观点随着社会地位的变化而变化，从而产生出一种发人深省的“角色互换”的现象：专制的家长曾经是俯首帖耳的子孙；恶毒的婆婆曾经是受气的小媳妇儿；刚愎的暴君曾经是造反者；一怒之下杀了伙伴的王者，当年也曾讲过“苟富贵，勿相忘”的肺腑之言……人们显得那样健忘，仿佛人际,20900000
寄李儋元锡,韦应物,"去年花里逢君别，今日花开又一年。
世事茫茫难自料，春愁黯黯独成眠。
身多疾病思田里，邑有流亡愧俸钱。
闻道欲来相问讯，西楼望月几回圆。",作于兴元元年（784）春滁州任所，诗中西楼当在滁州，去年朱泚叛军盘踞长安，德宗一直流亡奉天（陕西乾县）。李儋为作者诗友，时官殿中侍御史，此诗叙离别及感时之思，明谢榛《四溟诗话》谓律诗八句皆淡者，孟浩然、韦应物有之，本篇即,14600000
赠卫八处士,杜甫,"人生不相见，动如参与商。今夕复何夕，共此灯烛光？
少壮能几时，鬓发各已苍。访旧半为鬼，惊呼热中肠。
焉知二十载，重上君子堂。昔别君未婚，儿女忽成行。
怡然敬父执，问我来何方。问答未及已，驱儿罗酒浆。
夜雨剪春韭，新炊间黄梁。主称会面难，一举累十觞。
十觞亦不醉，感子故意长。明日隔山岳，世事两茫茫！",这首诗当是乾元二年（759）春，杜甫从洛阳回华县途中所作，与“三吏”“三别”作于同一时期。卫八处士是杜甫青年时代的朋友，二十年未曾谋面，时正战乱，彼此重逢的亲切与感慨可想而知。清仇兆鳌《杜诗详注》引周甸注：“前曰‘人生’，后曰‘世事’，前曰‘如参商’，后曰‘隔山岳’，总见人生聚散不常，别易,12400000
采莲词,张潮,朝出沙头日正红，晚来云起半江中。赖逢邻女曾相识，并著莲舟不畏风。,"唐朝有不少诗人写过以江南水乡采莲为题材的诗，反映了当时民间的劳动、爱情等生活。张潮这首《采莲词》却独具一格，它写出了采莲女互相帮助、共同战胜风浪的勇敢精神，至今读来，仍然感人至深。
第一句写采莲女早晨出发劳动时的情景：“朝出沙头日正红。”“沙头”，即江岸，因为江岸常有河沙淤积。那时，一轮火红的太阳正从东方升起，采莲女驾着一只小舟，从江岸出发，向",12300000
马诗二十三首（其四）,李贺,此马非凡马，房星本是星。向前敲瘦骨，犹自带铜声。,"李贺从小博览群书，立志科考，本来大有希望。不料因为他的父亲名李晋肃，“晋”“进”同音，竞争者借此要求他避父讳，而官员昏庸，取消了他举进士的资格，断了他的求仕之路。
李贺作有马诗二十三首，以马自喻，而各有侧重。虽然写作的时间已无法考证，不知是否写于落第之后，但诗中所反映出来的显然带有非常明显的个人人生遭遇的痕迹，表达了诗人求仕过程中的种种感慨。本诗只是其中一首，写了一匹遭遇不好的千",11500000
京中七日立春,罗隐,"一二三四五六七，万木生芽是今日。
远天归雁拂云飞，近水游鱼迸冰出。","作者是晚唐文坛上的一位奇才，诗歌和散文都写得很好。但因为他性好讽刺公卿，痛恨社会政治的昏暗，因而长期羁留京师。尽管他“十二三年就试期”，但仍是“五湖烟月奈相违”（罗隐《感弄猴人赐朱绂》）。他至少参加了十四年的考试，仍是榜上无名，因而愤愤更名，改罗璜为罗隐。他滞留长安，大概想起隋代著名诗人薛道衡的《人日思归》，因而在“京中七日立春”之时，便慨然而有此作。
据载，薛道衡聘陈，南陈的君",10100000
贼平后送人北归,司空曙,"世乱同南去，时清独北还。他乡生白发，旧国见青山。
晓月过残垒，繁星宿故关。寒禽与衰草，处处伴愁颜。","这首诗是客中送客之作，写于“安史之乱”平定之后，意在伤自己之独留南方，不能和朋友同来同返，并抒发对乱后形势的忧虑之情。
诗题为《贼平后送人北归》，“贼平”，指代宗广德元年（763）正月，叛军首领史朝义率残部逃到范阳，走投无路，自缢身亡，“安史之乱”最终被朝廷平定。“北归”，指由南方回到故乡，《新唐书》载司空曙为广平人，这个“广平”，据考证当在今河北或北京境内，是“安史之乱”的重灾区。而作者在乱后为何仍须滞留南方，现在已无法得知了。
“世乱同南去，时清独北还。”首联交代送人北归的原因，抒写自己不能还乡的痛苦。“世乱”之时，司空曙和友人一起逃到江南避难，如今天下已经太平，友人得以回去，自己仍滞留他乡。“独”字含义丰富，一指友人独自北还，一指自己独不得还，含有无限悲感。这一",9950000
除夜宿石头驿,戴叔伦,"旅馆谁相问，寒灯独可亲。一年将近夜，万里未归人。
寥落悲前事，支离笑此身。愁颜与衰鬓，明日又逢春。",这首诗争论很激烈，说好说坏的都有。说好的认为一气呵成，机趣活泼，亲至动人。说坏的认为言情刻露，体轻气薄，敷衍成文。甚至还有人帮他修改了：“灯火石头驿，风烟扬子津。一年将近夜，万里未归人。萍梗南浮越，功名西向秦。明朝对青镜，衰鬓又逢春。”这一改，反而把问题挑明了。原来在后人眼中,9910000
