Author,Title,Poem,PoemAnalysis,PoemGoogleCounts
王禹偁,点绛唇,"雨恨云愁，江南依旧称佳丽。
水村渔市，一缕孤烟细。
天际征鸿，遥认行如缀。
平生事，此时凝睇，谁会凭栏意！","王禹偁词作鉴赏
此词是北宋最早的小令之一，也是作者唯一的传世之作。全词以清丽的笔触、沉郁而高旷的格调，即事即目，寓情于景，通过描绘江南雨景，寄寓了作者积极用世、渴望有所作为的政治理想和怀才不遇的苦闷情怀。《竹林纪事》评此词云：""情丽可爱，岂止以诗擅名。""起首一句""雨恨云愁""，借景抒情，借情写景。云、雨并无喜怒哀乐，但词人觉得，那江南的雨，绵绵不尽，分明是恨意难消；那灰色的云块，层层堆积，分明是郁积着愁闷。即使是这弥漫着恨和愁的云雨之中，江南的景色，依旧是美丽的。南齐诗人谢朓《入朝曲》写道：""江南佳丽地，金陵帝王州。""王禹偁用""依旧""二字，表明自己是仅承旧说，透露出一种无可奈何的情绪。
上片煞拍写的是：濛濛的雨幕中，村落渔市点缀湖边水畔；一缕淡淡的炊烟，从村落上空袅袅升起；水天相连的远处，一行大雁，首尾相连，款款而飞。但如此佳丽的景色，却未能使词人欢快愉悦，因为""天际征鸿，遥认行如缀""。古人心目中，由飞鸿引起的感想有许多。""举手指飞鸿，此情难具论""（李白《送裴十八图南归嵩山》）。这里，词人遥见冲天远去的大雁，触发的是""平生事""的联想，想到了男儿一生的事业。王禹偁中进士后，只当了长洲知县。这小小的芝麻官，无法实现他胸中的大志，于是他恨无知音，愁无双翼，不能象""征鸿""一样展翅高飞。最后，王词将""平生事""凝聚对""天际征鸿""的睇视之中，显得含蓄深沉，言而不尽。
这首词艺术风格上一改宋初小令雍容典雅、柔靡无力的格局，显示出别具一格的面目。词中交替运用比拟手法和衬托手法，层层深入，含吐不露，语言清新自然，不事雕饰，读来令人心旷神怡。从思想内容看，此词对于改变北宋初年词坛上流行的""秉笔多艳冶""的风气起了重要作用，为词境的开拓作了一定的贡献。",132000
寇准,江南春,"波渺渺，柳依依。
孤村芳草远，斜日杏花飞。
江南春尽离肠断，蘋满汀洲人未归。","寇准词作鉴赏
此词以清丽宛转、柔美多情的笔触，以景起，以情结，以景寄情，情景交融，抒写了女子怀人伤春的情愫。南宋胡仔《苕溪渔隐丛话》中评此词云：""观此语意，疑若优柔无断者；至其端委庙堂，决澶渊之策，其气锐然，奋仁者之勇，全与此诗意不相类。盖人之难知也如此！""
起首四句勾勒出一幅江南暮春图景：一泓春水，烟波渺渺，岸边杨柳，柔条飘飘。那绵绵不尽的萋萋芳草蔓伸到遥远的天涯。夕阳映照下，孤零零的村落阒寂无人，只见纷纷凋谢的杏花飘飞满地。以上四句含有丰富的意蕴和情思。""波渺渺""，水悠悠，含有佳人望穿秋水的深情。""柳依依""，使人触目伤怀，想起当年长亭惜别之时。""孤村""句说明主人公心情之孤寂，""斜阳""句则包含有""无可奈何花落去""的凄凉和感伤。
结拍两句承前面写景的层层渲染铺垫，直抒胸臆，情深意挚，将女主人公的离愁抒写得淋漓尽致，使人感觉到她的青春年华正孤寂落寞的漫长等待中流逝。",80700
寇准,踏莎行·春暮,"春色将阑，莺声渐老，红英落尽青梅小。
画堂人静雨蒙蒙，屏山半掩余香袅。
密约沉沉，离情杳杳，菱花尘满慵将照。
倚楼无语欲销魂，长空暗淡连芳草。","寇准词作鉴赏
宋人胡仔称寇准""诗思凄婉，盖富于情者。""这一评语，用以评析寇准的词作也是恰当的。这首闺怨词便体现了上述艺术特色。词中以细腻有致、沉郁多情的语言，以写景起，情由景生，又以写景结，以景结情，将暮春时节一位闺中思妇怀念久别远人的孤寂情怀抒写得委婉动人。全词情景交融，意境浑然，风格清新，语言晓畅，堪称闺怨词中的佳作。
上片起首三句写暮春残景，首句是概括性的叙述，第二句是写耳中所闻，第三句是目中所见。这三句，营造出衰残、迟暮的情致，为写女主人公的伤春情怀制造了气氛。
接着由室外景转向室内来，由写景转到写人。房屋是华美的，此刻静无人声，但觉细雨濛濛；屏风掩住了室内景象，只见那尚未燃尽的沉香，余烟袅袅。
这是以""余香袅袅""来衬托室内环境的静这两句，含蓄地写出了女主人公对于远人无结果的、渺茫的期待。
过片写女主人公落寞失望中，又一次回忆起昔日依依惜别时那私下的约言，然而对方一直音信杳然。这两句，把女主人公那种深以往昔恋情为念的内心情愫，深沉地表达出来了。""菱花尘满慵将照""，写女主人公懒于对镜梳妆，镜匣很久不打开，那上面都积满尘土了。这三句连贯直下，把她为情所苦，但却决不负情的心愫，通过句句加深，层层加重的复叠手法，表现得沉挚凝炼。结拍写女主人公心情极度难过，似乎魂都为之""销""，于是去倚楼望远，可是这时候眼睛所能望见的，只是长空暗淡、芳香连绵。而翘望着的那个人，却始终不见归来！这两句以写景收束全篇，余韵无穷。
这首伤时惜别之作，写得情思绵绵，凄婉动人。
词中虽然先写景后写情，但景中也是寄寓深情的。全词于字里行间处处跃动着抒情女主人公对于红英落尽、芳歇春去的感伤与惋叹，流露出一种美人迟暮、青春易逝的惆怅之情，读之令人销魂。",47200
钱惟演,玉楼春,"城上风光莺语乱，城下烟波春拍岸。
绿杨芳草几时休，泪眼愁肠先已断。
情怀渐觉成衰晚，鸾镜朱颜惊暗换，昔时多病厌芳尊，今日芳尊惟恐浅。","钱惟演词作鉴赏
此为作者暮年遣怀之作。词中以极其凄婉的笔触，抒写了作者的垂暮之感和政治失意的感伤。作品中的""芳草""、""泪眼""、""鸾镜""、""朱颜""等意象无不充满绝望后的浓重感伤色彩，反映出宋初纤丽词风的艺术特色。
上片起首两句，从城上和城下两处着墨，声形兼备、富于动感地描绘春景，勾勒出一幅城头上莺语阵阵、风光无限；城脚下烟波浩淼、春水拍岸的图画，使读者隐然感觉到主人公的伤春愁绪，从而为下文的遣怀抒情作好了铺垫。
上片结末两句转而抒情，言绿杨芳草年年生发，而词人已是眼泪流尽，愁肠先断，愁惨之气溢于言表。从表现手法上讲，用绿杨芳草来渲染泪眼愁肠，也就达到了情景相生的效果，情致极为凄婉。此二句由景入情，词意陡转，波澜突起。
过片两句，从精神与形体两方面感叹老之已至，抒写了词人无可奈何的伤感情怀。从中可以窥见，一贬汉东，默默无闻，大势已去，这对于曾经""官兼将相，阶勋、品皆第一""的作者来说，打击是多么巨大。结拍两句将借酒浇愁这一司空见惯的题材赋予新意，敏锐而恰切地扣住词人对""芳尊""态度的前后变化这一细节，形成强烈反差，由景入情，画龙点睛，传神地抒发出一个政治失意者的绝望心情。宋胡仔《苕溪渔隐丛话》卷二云：""侍儿小名録云：""钱恩公谪汉东日（指钱惟演晚年谪随州），撰《玉楼春》词曰：""城上风光莺语乱，城下烟波春拍岸。绿杨芳草几时休，泪眼愁肠先已断。情怀渐变成衰晚，鸾镜朱颜惊暗换。往年多病厌芳樽，今日芳樽惟恐浅。""每酒阑歌之，则泣下。后阁有白发姬，乃邓王歌鬟惊鸿也。遽言：""先王将薨，预戒挽铎中歌木兰花引绋为送。今相公亦将亡乎。果薨于随州。""可为此词注脚。",23700
陈尧佐,踏莎行,"二社良辰，千秋庭院。
翩翩又见新来燕。
凤凰巢稳许为邻，潇湘烟暝来何晚。
乱入红楼，低飞绿岸。
画梁时拂歌尘散。
为谁归去为谁来，主人恩重珠帘卷。","陈尧佐词作鉴赏
此词为作者唯一留传于世的词作，是作者为感谢宰相申国公吕夷简荐引其拜相之恩德而作。词中采用比兴、暗喻手法，以燕子自喻，寄寓了词人的感恩思想。
词的起首三句点节序，写环境，以燕子的翩然来归，喻朝廷的济济多士，同时也寄寓了词人对如同明媚春光的盛世的赞美与热爱，以及词人悠然自得的心情。二社，指春社与秋社，是祭祀社神（土地神）的节日。春社立春后第五个戊日，秋社立秋后第五个戊日。联系下文来看，这里主要指春社，之所以要说是""二社""，因为要与下句的""千秋""对举。就作为候鸟的燕子来说，相传春社来，秋社去，故亦可称""二社""。""千秋庭院""，一作""千家庭院""。""千秋""义较胜，即秋千。燕子于寒食前后归来，而秋千正是寒食之戏。此亦暗点时令，与""二社""照应。""翩翩""，轻快。燕子一会儿飞向空中，一会儿贴近地面，自由之态可掬。句中着一""又""字，说明燕子的翩然来归，非止一双，""新来""切己之初就任，语虽浅而意深，进一步歌颂朝廷的无量恩德。
三、四两句暗喻吕夷简的退位让贤，并自谦依附得太晚。词人把这一层意思，表达得极为婉曲，令人觉得含蓄蕴藉而不直白、浮浅。""凤凰巢稳许为邻""，以凤凰形容邻座之巢，意突出其华美与高贵。不说""占得""，而说""许为邻""，亦谦恭之意。""潇湘""谓燕子从来之处，当系虚指。""来何晚""三字，充满感情色彩。从语气上看，似为自责，其中大有""相从恨晚""之意。
过片二句以象征、比拟手法，通过描写心情舒畅的燕子乱入红楼、低飞绿岸的意象，表达出词人当时的欢乐、畅适心境。""红楼""为富贵之家，""绿岸""为优美之境。""乱入""形容燕子的纷飞。下片第三句""画梁时拂歌尘散""，据刘向《别录》云，汉代有虞公者，善歌，发声能震散梁上灰尘。华堂歌管，是富贵人家常事，燕子栖于画梁，则梁尘亦可称作""歌尘""。此亦为居处之华贵作一点缀。
结尾二句以""主人""喻吕夷简，以""燕""喻词人自身，委婉曲折地表达了感恩之情。""为谁归去为谁来""，纯为口语，一句提问，引起读者充分注意，然后轻轻逗出""主人恩重珠帘卷""，悠然沁入人心，完成了作品的主题。这种代燕子立言以表示对主人感激的象征手法，收到了极好的艺术效果。
此词虽然格调不高，但它以曲笔抒深情，笔愈曲而情愈浓，读来令人回味无穷，艺术上不乏可取之处。",38900
潘阆,酒泉子,"长忆西湖。
尽日凭阑楼上望：三三两两钓鱼舟，岛屿正清秋。
笛声依约芦花里，白鸟成行忽惊起。
别来闲整钓鱼竿，思入水云寒。","潘阆词作鉴赏
此词是作者回忆杭州西湖旖旎风光之词。全词情景交融，先写西湖光景，后写忆者之情。词中正面描写与侧面描写并用，景中寄情，情中寄景，选景高洁，情调闲雅，用笔淡炼，纯用白描，艺术手法甚为高超。
上片首句一方面，显示西湖风景十分美好，令作者念念不忘；另一方面，经""忆""字提示，下文便从现实中脱开，转入回忆。接下来一句，由今日的不懈思念，引出当年无尽的栖迟，用感情带动写景。""凭阑楼上""是词中熟语，极难出新意，然而用这里，表明作者终日留恋的同时，还使以下诸景因之入目无遗。""三三两两钓鱼舟，岛屿正清秋。""前句写风物，后句写背景，相映生辉。""三三两两""句点渔舟位置，有悠然自、不扰不喧的意思。
过片两句，继续写当日楼上见闻，上句写声，""依约""是隐约、听不分明的意思，摹笛声渺茫幽远、似有若无的韵致；后句写形，用""忽惊起""状白鸟（即白鹭）翩然而逝、倏然而惊的形态，色彩明快，颇具情味，朴实的白描中透出空灵。""别来""二字将思路从回忆拉到现实。""闲整钓鱼竿""不仅应上片之""钓鱼舟""，而且以收拾鱼竿、急欲赴西湖垂钓的神情，衬托忆西湖忆得不能忍耐、亟想归隐湖上的念头。词之下片，营造出钓翁渔隐出没的寥阔苍茫的背景，以景寓情，寄托了词人的""出尘""思想。
宋杨湜《古今词话》云：""潘逍遥狂逸不羁，往往有出尘之语。""此语从此词中，可见斑。",4420000
潘阆,酒泉子,"长忆西山，灵隐寺前三竺后，冷泉亭上旧曾游，三伏似清秋。
白猿时见攀高树，长啸一声何处去？
别来几向画图看，终是欠峰峦！","潘阆词作鉴赏
此词以含蓄委婉的笔触，交替使用白描、绘神、想象、反衬等多种手法，回忆了杭州西山胜景，抒写了作者对西湖周围胜地的深挚眷恋。
上片起首一句点明题旨，然后直接进入回忆。第二句用两个地名词和两个方位词，带出了寺前山后的一切风景点。第三句是近景小景，展现了广阔的背景以后，再专门回味游览冷泉这一名胜时的情形，自然也有举一点以见全貌的作用。以上两句是全篇中唯一正面写景的地方，但句中只标明地点方位和说明旧日曾经亲游，至于这里的风景到底怎样美好，作者却不直说。这样写可以让读者驰骋想象，他们有可能填补出比任何笔墨、色彩都多得多、美得多的景象来，这是艺术空白的妙用。上片结尾一句意思是说这里游憩，即使酷热的三伏天也如清爽的秋日。如果说前两句写景只点出景哪里，是使用了艺术的拙笔的话，那么这一句无边的美景之上精心捕捉山光物态的神韵，则使用了艺术的巧笔。
过片两句是想象。冷泉亭左侧有呼猿洞，相传晋代僧人慧理曾蓄白猿于此。这两句虚事实写，更添了西山灵气。从内容上看，作者这两句中似乎还通过白猿的长啸而去，怀念杳无踪迹的慧理，然后再通过对慧理的追缅，遥寄自己许身湖山、与猿为侣的愿望。结拍两句，意思是说：别后因为甚思西山而不可得，只好找来西山的画图频频观看，但那上面终究找不出真山峰的美质来。这里用图画作为反衬，西山的灵姿秀气因此更为突出了。""欠峰峦""，指缺少峰峦，实际上是说没有好的峰峦。""画图""，别本作""画阑""（""阑""同""栏""），说诗人所处的地方多次凭阑而望，终是看不到西山那些优美的山峰。这样当然也通，但少了西山比图画更美丽这层意思。",7470
潘阆,酒泉子,"长忆观潮，满郭人争江上望，来疑沧海尽成空，万面鼓声中。
弄潮儿向涛头立，手把红旗旗不湿。
别来几向梦中看，梦觉尚心寒。","潘阆词作鉴赏
这首词以豪迈的气势和劲健的笔触，描绘了钱江潮涌的壮美风光。词的上片描写观潮盛况，表现大自然的壮观、奇伟；下片描写弄潮情景，表现弄潮健儿与大自然奋力搏斗的大无畏精神，抒发出人定胜天的豪迈气概。
上片起首两句，写杭州人倾城而出，拥挤钱塘江边，万头攒动，争看江面潮水上涨。为下面潮水的涌现制造了气氛，作好了铺垫。上片结尾两句，运用比喻、夸张等手法，把钱江潮涌的排山倒海、声容俱壮，渲染得有声有色、惊险生动。
过片转而描写弄潮儿的英勇无畏、搏击风浪、身手不凡和履险如夷。这两句纯用白描手法，写得有声有色，富于动感，眩目惊心。结拍由回忆转为现实，写词人虽离杭已久，但那壮观的钱江涌潮仍频频入梦，以至梦醒后尚感惊心动魄。
此词对于钱江涌潮的描绘，可谓匠心独远，别具神韵。词中""来疑沧海尽成空""一句采用夸张手法，浓墨重彩，大开大阖，感染力甚强。上片第二句的""争""、""望""二字，生动地表现了人们盼潮到来的殷切心情，从空间广阔的角度进行烘托与大潮的壮观结合得甚为密切。结拍言梦醒后尚心有余悸，更深化了潮水的雄壮意象。前后的烘托与中间重点描写当中的夸张手法配合紧密，使全词的结构浑然一体。",158000
林逋,点绛唇,"金谷年年，乱生春色谁为主？
余花落处，满地和烟雨。
又是离歌，一阕长亭暮。
王孙去。萋萋无数，南北东西路。","林逋词作鉴赏
此为咏物词中的佳作。全词以清新空灵的笔触，物中见情，寄寓深意，借吟咏春草抒写离愁别绪。整首词熔咏物与抒情于一炉，凄迷柔美的物象中寄寓惆怅伤春之情，渲染出绵绵不尽的离愁。
金谷，即金谷园，指西晋富豪石崇洛阳建造的一座奢华的别墅。石崇《金谷诗序》里说，征西将军祭酒王诩回长安时，他曾金谷涧为其饯行。所以后来南朝江淹的《别赋》中就有""送客金谷""之说，成了典故。""金谷年年，乱生春色谁为主？""人既去，园无主，草木无情，依旧年复一年逢春而生。曾经是锦绣繁华的丽园，如今已是杂树横空、蔓草遍地了。写春色用""乱生""二字，可见荒芜之状，其意味，与杜牧《金谷园》诗中的""流水无情草自春""相近。""谁为主""之问，除点明园的荒凉无主外，还蕴含着作者对人世沧桑、繁华富贵如过眼烟云之慨叹。
""余花""两句，写无主荒园细雨中春色凋零，绚烂的花朵已纷纷坠落，连枝头稀疏的余花，也随濛濛细雨而去。""满地和烟雨""，境界阔大而情调哀伤，虽从雨中落花着笔，却包含着草盛人稀之意。眼看""匆匆春又归去""，词人流露出无可奈何的惆怅情怀。
过片直写离情。长亭，亦称十里长亭。古代为亲人送行，常长亭设宴饯别，吟咏留赠。此时别意绵绵，难舍难分，直到太阳西下。""又是离歌，一阕长亭暮""，词人正是抓住了黯然销魂的时刻，摄下了这幅长亭送别的画面。最后""王孙""三句，活用《楚辞意，是全词之主旨。""王孙""本是古代对贵族公子的尊称，后来诗词中，往往代指出门远游之人。凝望着亲人渐行渐远，慢慢消失了，唯见茂盛的春草通往四方之路，茫茫无涯。正如李煜》清平乐《词所说：""离恨恰如春草，更行更远还生。""",18200
林逋,长相思,"吴山青，越山青。
两岸青山相送迎，谁知离别情？
君泪盈，妾泪盈。
罗带同心结未成，江头潮已平。","林逋词作鉴赏
此词采用民歌中常见的复沓形式，以回旋往复、一唱三叹的节奏和清新优美的语言，托为一个女子声口，抒写了她因爱情生活受到破坏，被迫与心上人江边诀别的悲怀。
上片起首两句，用民歌传统的起兴手法，叠下两个""青""字，色彩鲜明地描画出钱塘江两岸山明水秀的江南胜景。接下来两句，以拟人化手法移情寄怨，借青山无情反衬离人有恨，深切道出了有情人诀别时的痛苦。
过片两句由写景转入抒情。写行者与送者。临别之际，泪眼相对，哽咽无语。结拍两句含蓄点出了他们悲苦难言的底蕴，并以分别后的一江恨水抒写有情人的离情别绪。古代男女定情时，往往用丝绸带打成一个心形的结，叫做""同心结""。""结未成""，喻示他们爱情生活横遭不幸。不知是什么强暴的力量，使他们心心相印而难成眷属，只能各自带着心头的累累创伤，来此洒泪而别。这两句以景语作结，创造出一个隽永空茫、余味无穷的艺境。",106000
