Title,Author,Poem,AuthorIntro,PoemAnalysis,PoemGoogleCounts
,,,,,0
,,,,,0
目录,,,,,0
《唐诗鉴赏辞典》,,,,,0
凡例,,,,,0
前言,周啸天,,,,0
述怀,魏徵,"中原初逐鹿，投笔事戎轩。纵横计不就，慷慨志犹存。
杖策谒天子，驱马出关门。请缨系南越，凭轼下东藩。
郁纡陟高岫，出没望平原。古木鸣寒鸟，空山啼夜猿。
既伤千里目，还惊九逝魂。岂不惮艰险？深怀国士恩。
季布无二诺，侯嬴重一言。人生感意气，功名谁复论。",*魏徵（580—643），字玄成，隋唐馆陶（今属河北）人，又说河北巨鹿或晋州人。隋末随李密起义，密败，降唐为太子建成洗马。太宗即位，擢为谏议大夫，历官尚书右丞、秘书监、侍中、左光禄大夫、太子太师等职，进封郑国公，史称诤臣。曾主《隋书》《群书治要》等编事，时称良史。,"齐梁迄于唐初，诗歌创作中心在于宫廷。精心修饰的法则和惯例，高雅的贵族社会趣味，在宫廷诗中占据统治地位。虽然宫廷诗兴起后就激起与之对立的诗论（这种对立诗论后来发展为复古理论）的反对，“但是这种反对仅有诗论，缺乏诗歌实践，缺乏具有美学吸引力的替换品”（宇文所安《初唐诗》）。在这样的形势下，受对立诗论影响而产生的第一批独具特色的作品，我们理应刮目相看，并加以推崇。
魏徵《述怀》便是这样的一篇杰作。明清时代操唐诗选政的名流李攀龙和沈德潜，一例将此诗置于唐诗卷首，绝非偶然。首开时代风气的作品不出自纯粹的诗人，而出自政治上的风云人物，这一事实耐人寻味。魏徵生在隋末乱离时代，属意纵横之说，曾做过道士，后在李密幕下供职，随李密投唐，成为唐太宗贞观时代的名臣，是个集儒生、策士、史家、诗人于一身的大人物。在唐高祖即位之初，华山以东有一些李密旧部不肯降唐，魏徵便自告奋勇去说服他们，临行之际，作此诗以抒怀，表达了他不畏艰难险阻，誓报知遇之恩的思想。
《史记•淮阴侯列传》中蒯通形容秦末的动乱说：“秦失其鹿，天下共逐之。”隋末群雄竞逐的局面与之颇相类似。魏徵以一介文士投身政治军事活动，有类于汉代班超的投笔从戎。诗的前两句就融化典实，追忆个人夙昔的不凡志向：“中原初逐鹿，投笔事戎轩（战车）。”一个“初”字，在时间的界定上非常清楚。从当初算起到“出关”（诗题一本即作此）之时，诗人已饱经风霜，在政治上相当成熟老练。“纵横计不就”，忆及在李密部下，曾进十策而不被采用，难免有过受挫失意之感，但他从来没有放弃雄心壮志。有志者事竟成，靠的是不折不挠的精神，“慷慨志犹存”一句，表达了他百折不挠、壮志未泯的情怀。这两句抑扬中有擒纵之致，使人想起“屡战屡败屡战”（曾国藩）式的笔法，为之击掌。短短四句的回顾是非常必要的，光荣的历史足以引起自豪感，比开门见山地写“驱马出关门”好得多。
看他“杖策（驱马）谒天子”，是何等气概，还真有点“长揖山东隆准公”（李白《梁甫吟》）的高阳酒徒郦食其的派头呢。须知此行责任重大，动关国是，作者在关键时刻挺身而出，“请缨系南越，凭轼下东藩”，这可不是儿戏。诗中连用了两个汉代典故：一是武帝时的终军自请出使南越，劝说南越王归顺汉室，行前请授长缨，谓“必羁南越王而致之阙下”；一是高祖时的郦食其请命劝降齐王田广，使其成为汉之东藩。这两个古人所完成的使命，与魏徵当时将要做的工作非常相似。诗中用典不但贴切，而且突出了历史感和使命感，使诗意变得厚重起来。
“郁纡陟高岫”六句穿插写景，毕叙征途的艰险。潼关表里山河，地势险要，在旅途中是要备尝艰险的，“郁纡陟高岫，出没望平原”便是真实写照。正因为山路萦回，崎岖不平，所以平原时隐时现，时出时没，这也衬托出作者此时因任务艰巨而起伏不平的心情。以下两句中“空山”“古木”“寒鸟”“夜猿”以及它们的啼鸣，构成了一幅深山老林的荒寒画图和画图难足的境界。在这样人迹罕至的幽险去处，任你是何等人物，也不免心折骨惊。作者不仅不讳言险艰，还向读者强调了他的“惊”，乃至“伤”。“既伤千里目，还惊九逝魂”二句，化用了楚辞中“目极千里兮伤春心，魂兮归来哀江南”（《招魂》）和“唯郢路之辽远兮，魂一夕而九逝”（《哀郢》），感言对故国的怀念和个人吉凶未卜的意识。虽然诗人这里着重写自然环境的艰险，但另一重危险性却能见于言外，这原是从事那样特殊的政治使命所不可避免的。所以“岂不惮艰险”，实兼二重意味而言。说“岂不惮”，就是承认有所“惮”，然而这与承认自己的感伤一样，其实无损抒情主人公的形象，反而增加了他性格的温润感。事实上，他是“明知征途有艰险，越是艰险越向前”，具有一种自觉的大无畏精神。感伤与忌惮，只是一闪念。“主上既以国士见待，安可不以国士报之乎？”（《旧唐书•魏徵传》）便是“深怀国士恩”句的注脚。
“国士句是主意”（清沈德潜《唐诗别裁集》），末四句由此申发。所谓国士，即国家栋梁之才。士大夫受到国士的待遇，足以踌躇满志，当然应竭力报效国家。（唐卢藏用《陈氏别传》说陈子昂“感激忠义，常欲奋身以答国士”，便是这个意思。）汉初的季布，以重然诺闻名于关中，时有“得黄金百斤，不如得季布一诺”的谚语。战国的侯嬴，有感于信陵君的知遇之恩，终于以死相报。这两句诗用这两则以忠诚守信著名的古人故事，表达了作者对唐室的忠贞不贰。当然，这里还有一个个人功名的问题，古人并不讳言于此，“三不朽”中即有“立功”一项。不过，魏徵这里更强调“意气”，也就是感情——这里特指报国热情。诗的末两句用了南朝梁荀济《赠阴梁州》诗中“人生感意气，相知无富贵”二句，从而注入新意，既轻视功名又把诗情推向高峰。
魏徵当时属于近臣，但和此前的宫廷诗人不同，他是在鞍马间为文，因此诗中带有戎马生活气息。这倒有点像汉末的“三曹七子”，“雅好慷慨，良由世积乱离，风衰俗怨，并志深而笔长，故梗概而多气”（南朝梁刘勰《文心雕龙•时序》）。《述怀》一诗，真可使建安作者相视而笑。若要为陈子昂复古诗论找出较早的样板，真是“其则不远”了。魏徵本人后来在《隋书•文学传序》中提倡一种将南朝的清绮与北国的气质合一的“文质彬彬”的雅体。《述怀》就基本上实践着这一主张。它一方面措语朴素，直抒胸臆，慷慨激昂，与声色大开的南朝诗风相异。另一方面又融汇典语，自铸新辞，对仗妥帖，与理胜其辞的河朔诗风不同。体现了政治内容与艺术形式较好的统一。所以沈德潜谓其“气骨高古，变从前纤靡之习，盛唐风格发源于此”（《唐诗别裁集》）。",108000
过旧宅,李世民,"新丰停翠辇，谯邑驻鸣笳。园荒一径新，苔古半阶斜。
前池消旧水，昔树发今花。一朝辞此地，四海遂为家。",*李世民（599—649），即唐太宗，陇西成纪（今属甘肃）人，祖籍赵郡隆庆（今河北隆尧）。他开创了著名的“贞观之治”，为后来全盛的“开元盛世”奠定了重要的基础，将中国传统农业社会推向鼎盛时期。,"唐太宗李世民在文治武功方面，堪称天纵神武的一代英主。他在诗歌创作领域，则是一个鼓吹风雅，勇于探索，并取得较大成就的作者。李世民不少诗即事咏怀，写景抒情，具有鲜明的艺术特色和创作个性，《过旧宅二首》就是这样的一组好诗，这里选的是第一首。从诗中情景推断，这次“过旧宅”当是李世民即位后于贞观六年（632）巡幸其出生地“武功之别馆”（参见《旧唐书•太宗纪上》及《新唐书•礼乐志》）。
首联“新丰停翠辇，谯邑驻鸣笳”，不仅扣住题目——“过旧宅”，而且暗示帝王身份。“翠辇”和“鸣笳”，都是君主外出巡幸时的车马仪仗。“新丰”是汉置县名，刘邦称帝后，刘太公思归故里，刘邦仿老家丰地街巷另筑一城于关中，并迁故旧居之，以娱太公，后改名为新丰，其地在今陕西临潼东北。“谯邑”，秦置县，为魏皇室本贯所在地；李渊早年仕隋时曾任谯州刺史，其地在今安徽毫州。这里不但以“新丰”“谯邑”借代自己驻跸的武功旧宅，而且隐含君王荣归故里之意。李世民在其他几首创作于武功的诗中一再写到：“寿丘惟旧迹，丰邑乃前基”；“共乐还乡宴，欢比大风诗”（《幸武功庆善宫》）；“列筵欢故老，高宴聚新丰”（《重幸武功》）。衣锦还乡思想情不自禁地流露了出来，和刘邦作《大风歌》相同。
中间两联纯写旧宅眼前景，却很别致。三、四句“园荒一径新，苔古半阶斜”，上句的“园荒”，说明主人长年不住；“径新”，说明帝王旧宅毕竟不同于普通官僚地主的废宅，它平时有人守护整葺。下句则由“园荒”引出“苔古”，由“径新”引出“阶斜”。路边阶下布满陈年斑驳的苍苔，花木丛中隐约露出半截斜阶，给人以宁静、幽雅和闲适的艺术美感。“前池消旧水，昔树发今花”，奇峰突起，以神来之笔写出自然界欣欣向荣、生机盎然的景观，前池的水不断流注更新，过去种植的树木年复一年鲜花怒放，诗人似乎从自然界万物更新中，获得“天行健，君子以自强不息”（《周易•乾卦》）的哲理启示！
末联“一朝辞此地，四海遂为家”，一线贯注，结得遒健有力，它既总结全诗，神完意足，又照应首联，突出题旨。这一联和作者《题河中府逍遥楼》断句“昔乘匹马去，今驱万乘来”以其宏伟气魄，豪迈情怀，历来为诗论家所赞叹激赏，认为它与汉高祖刘邦“风起云扬之歌同其雄盼，自是帝王气象方侔”（明胡震亨《唐音癸签•卷五评汇一》）。
《过旧宅》是李世民代表作之一，它的成功得力于坚实的生活基础。史载李世民于隋开皇十八年（599年）冬出生于“武功别馆”，十八岁随父李渊起兵太原，南征北战，次第削平群雄割据，统一全国，建立我国历史上声威远播的唐王朝。李世民即位后，于贞观六年（632）三十五岁时重临武功旧宅，衣锦荣归，回顾往事，历历在目，记忆犹新，抚今追昔，感慨殊深，从而以“万机之暇，游息艺文”（《帝京篇序》）的封建令主身份，创作下这组诗。基调昂扬奋发，风格雄浑豪迈，最能反映李世民同类题材诗作的艺术特色。全诗四联八句，通篇对仗，中间两联，偶对工致，尾联一气流走，抒发无限豪情。虽还不是一首严格的五律，却已呈现出初唐律诗萌芽状态中的某些特征。",31700
还陕述怀,李世民,"慨然抚长剑，济世岂邀名！星旗纷电举，日羽肃天行。
遍野屯万骑，临原驻五营。登山麾武节，背水纵神兵。
在昔戎戈动，今来宇宙平。",,"这首五言短排是李世民诗创作中最优秀的篇目之一。从内容可以判定，它是唐王朝创建初期，李世民率师平定关东割据势力，回师关中时创作的。
全诗可分为三层。首联一层：“慨然抚长剑，济世岂邀名！”作者刚从前线凯旋，身披戎装，战尘仆仆，目睹关中山河呈现出一派升平景象，想起此前战争的艰辛，前线将士们的浴血奋战，不禁手抚长剑，慨然长叹。平定战乱，赢得统一局面，使人民过上安定生活，必然要付出代价，但这是为了“济世救民”，而不是为了争名夺利。
中间三联为第二层。分别描述行军、驻营、出击三个场面，是全诗的核心部分。“星旗纷电举，日羽肃天行”一联写行军场面，“星旗”“日羽”，突出队伍浩荡、旌旗簇拥、军情火急、羽书络绎；“纷电举”“肃天行”，显示行动迅猛，纪律严明。短短两句十字，概括内容如此广泛、丰富。“遍野屯万骑，临原驻五营”一联写驻扎场面，千军万马，漫山遍野的形象画面栩栩如生地重现纸上。“登山麾武节，背水纵神兵”一联则写战斗场面，“登山”“背水”写地形变化；“靡武节”“纵神兵”谓指挥灵活。短短三联六句，艺术地再现一次规模巨大的军事行动，由列队行军到扎营驻兵，再到临阵战斗，如此繁复多变的场面和丰富多彩的内容，顺序写来，有条不紊。语言凝练，用词精当。
末联为第三层。以抒发豪情壮志作结：“在昔戎戈动，今来宇宙平。”与首联遥相呼应，读来有斩钉截铁、淋漓尽致之妙。战争是残酷无情的，有破坏，要死人，但正是当初的大动干戈，才换来了而今的天下统一局面。诗人心中不无感慨，颇感欣慰。李世民在这些方面透露出来的战争观，具有历史进步意义，应予肯定。
本诗在艺术表现上，议论、叙事、写景、抒情熔为一炉；全诗五联十句，一气呵成，构思精审、语言凝练；中间三联六句，对仗工致，音节铿锵，是一首成功的五言短排。这样风格遒健的诗篇与浮靡的六朝遗风大异其趣，它出自初唐诗坛帝王笔下，是值得注意的一种文学现象，这也说明李世民在革新初唐诗风方面做出的努力和取得的成就。",8860
从军行二首,虞世南,"涂山烽候惊，弭节度龙城。冀马楼兰将，燕犀上谷兵。
剑寒花不落，弓晓月逾明。凛凛严霜节，冰壮黄河绝。
蔽日卷征蓬，浮天散飞雪。全兵值月满，精骑乘胶折。
结发早驱驰，辛苦事旌麾。马冻重关冷，轮摧九折危。
独有西山将，年年属数奇。
烽火发金微，连营出武威。孤城塞云起，绝阵虏尘飞。
侠客吸龙剑，恶少缦胡衣。朝摩骨都垒，夜解谷蠡围。
萧关远无极，蒲海广难依。沙磴离旌断，晴川候马归。
交河梁已毕，燕山旆欲挥。方知万里相，侯服见光辉。",*虞世南（558—638），字伯施，唐初越州余姚（今属浙江）人。官至秘书监，封永兴县子。有《北堂书钞》等。,"公元七世纪隋唐之交，三百年的南北朝乱局归于一统。但在西北东北边境，吐蕃、突厥、吐谷浑、回纥、高句丽仍虎视眈眈，战事不断，在这种情况下，“从军”便有了保卫国家、抵御外侮的含义。
一方面是由于国家统一，建立了自信；另一方面是戍边需要，出现了机遇，从军便成为了低层士子寻求出路的一种选择；即使在唐太宗开科取士之后，投笔从戎仍是一部分文士的向往。
虞世南由隋入唐，虽然没有从军经历，由于长期在中枢职掌翰墨文告，对军旅之事，边疆形势，亦时有所闻。故《从军行》能从宏观层面对战争作全景式的展示，重彩浓墨，跌宕起伏，不局限于一时一事一地，为一个历史时段边塞战事描绘一幅幅形象的图卷。
《从军行二首》为乐府旧题。二首各三折，从出征、苦战到结局，内容互为补充，写法各有变化。开头前六句写出征气势，从烽火报警落笔，或驾驭车子飞度，或连营齐出，皆为壮语；“楼兰将”与“上谷兵”皆两军精锐。前一首“剑寒花不落，弓晓月逾明”，“花”和“月”喻剑光弓影；“弓影”为李贺“晓月当帘挂玉弓”（《南园十三首》其六）所本。后一首“孤城寒云起，绝阵虏尘飞”，与杜甫的“无风云出塞，不夜月临关”（《秦州杂诗》其七）相类，以静制动，渲染出紧张肃穆的临战气氛。中间六句写严寒的战场环境与苦战经过。前一首依时令刻画塞外自然环境，“冰壮黄河绝”“浮天散飞雪”，气象阔大，景色壮丽；“马冻重关冷”，用语奇特，造句出新。后一首则从空间展现大漠绝塞的艰险与壮观，骨都、谷蠡、萧关、蒲海、交河、燕山都是边塞地名，一句一景，一句一地，一句一曲折，一句一悲喜。“侠客吸龙剑，恶少缦胡衣”，“侠客”与“恶少”指那些不怕死的年轻将士，挥剑如龙，洒血成河，把缴获的胡衣穿在身上，耀武扬威。“沙磴离旌断，晴川候马归”则写一部分军卒陷入沙漠绝境，联系中断，吉凶难料，哪知道天晴之后，竟杀出重围归来。战场形势诡异莫测，生死存亡间不容发。篇末六句与四句各写征战的结局，前一首“独有西山将，年年属数奇”是抑，使人联想起王维《老将行》的名句：“李广无功缘数奇”，是古典也是今典，为疆场失意者嗟叹！后一首拜相封侯是扬，吉人天相，或亦暗里寓讽喻之意。三折环环相扣，两首互为补充。从军的苦乐悲喜，征战的安危荣辱，驰骋万里，胜负咫尺，可以作爱国主义或人道主义的不同解读。
战争是各个国家、民族和利益集团之间争斗的一种激烈方式。作为战争一方，大抵取赞美与歌颂立场；也有取反战和批判态度。但往往是战后的反思，从本质上说，战争没有胜负。跨越一代代战争遗留的白骨，一块块挤满十字架的墓地，人类或许会变得聪明起来，逐步远离野蛮与杀戮，走向文明与和平。虞世南的《从军行》虽只是客观记述，实话实说，也不无警示与针砭作用。
齐梁间诗雕琢铺陈，采丽竞繁，内容狭隘，风格浮艳。但是其声律对偶对唐代近体诗的建立功不可没。虞世南作为文学侍从之臣，曾主持编撰著名类书《北堂书钞》，熟知“六对”“八对”之法，故属对工巧，遣词精练，在内容境界方面也一扫齐梁颓风。《从军行》在技巧上有两个鲜明的特点：一是正面描写战争的群体形象，场面宏大，气势磅礴，有强烈刺激的视觉效果；二是十分明显的律化倾向，《从军行》虽仍用乐府旧题，属五言古诗，但谋篇布局，遣词造句已经非常接近五言律诗或排律，代表一种趋向与时尚。",625
